,Agency,Primary_Agency,Title,RIN,Stage,Recived_Date,Status,Econ_Signficance,Legal_Deadline,RIN_Link,DayScraped
55,VA,VA,Civilian Health and Medical Program of the Department of Veterans Affairs,2900-AP02,Final Rule,11/10/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2900-AP02,11/30/21
56,VA,VA,Staff Sergeant Parker Gordon Fox Suicide Prevention Grant Program,2900-AR16,Interim Final Rule,11/22/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2900-AR16,11/30/21
57,EPA-OAR,EPA,NESHAP: Coal- and Oil-Fired Electric Utility Steam Generating Units--Reconsideration of Supplemental Cost Finding and Residual Risk and Technology Review,2060-AV12,Proposed Rule,08/03/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2060-AV12,11/30/21
58,EPA-OAR,EPA,Renewable Fuel Standard Program: Annual Volumes and Percentage Standards,2060-AV11,Proposed Rule,08/26/2021,Pending Review,Yes,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2060-AV11,11/30/21
59,EPA-OAR,EPA,Control of Air Pollution From Aircraft Engines: Emission Standards and Test Procedures,2060-AU69,Proposed Rule,10/22/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2060-AU69,11/30/21
60,EPA-OAR,EPA,Revised 2023 and Later Model Year Light-Duty Vehicle Greenhouse Gas Emissions Standards,2060-AV13,Final Rule,11/10/2021,Pending Review,Yes,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2060-AV13,11/30/21
61,EPA-OAR,EPA,Addition of 1-bromopropane to Clean Air Act Section 112 HAP List,2060-AS26,Final Rule,11/20/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2060-AS26,11/30/21
62,EPA-OCSPP,EPA,Pesticides; Certification of Pesticide Applicators; Extension of Deadline for Approval of Certification Plans,2070-AL00,Final Rule,11/16/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=2070-AL00,11/30/21
63,EPA-OLEM,EPA,"Integrating e-Manifest With Exports and Other Manifest-Related Reports, PCB Manifest Amendments, and Technical Corrections",2050-AH12,Proposed Rule,08/13/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2050-AH12,11/30/21
64,EPA-OW,EPA,EPA's Policy on the Determination of Harmful Algal Blooms and Hypoxia Events of National Significance (HHENS) in Freshwater Systems,2040-ZA32,Notice,08/24/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=2040-ZA32,11/30/21
65,EPA-OW,EPA,Unregulated Contaminant Monitoring Rule (UCMR 5) for Public Water Systems,2040-AF89,Final Rule,09/29/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2040-AF89,11/30/21
66,EPA-OW,EPA,Final Lead and Copper Rule Revisions; Proposed Delay in the Effective and Compliance Dates,2040-AG15,Notice,11/09/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=2040-AG15,11/30/21
67,EPA-OW,EPA,2022 National Pollutant Discharge Elimination System (NPDES) General Permit for Stormwater Discharges from Construction Activities,2040-ZA39,Notice,11/20/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=2040-ZA39,11/30/21
68,CNCS,CNCS,Employee Indemnification Regulations,3045-AA77,Proposed Rule,11/02/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=&RIN=3045-AA77,11/30/21
69,GSA,GSA,"General Services Acquisition Regulation (GSAR); GSAR Case 2021–G522, Contract Requirements for High-Security Leased Space",3090-AK39,Proposed Rule,09/20/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=3090-AK39,11/30/21
70,GSA,GSA,"Federal Management Regulation (FMR); FMR Case 2021-102-1, Real Estate Acquisition",3090-AK42,Proposed Rule,09/20/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=3090-AK42,11/30/21
71,OPM,OPM,Elijah E. Cummings Federal Employee Anti-Discrimination Act of 2020,3206-AO26,Proposed Rule,08/06/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=3206-AO26,11/30/21
72,OPM,OPM,Probation on Initial Appointment to a Competitive Position; Performance-Based Reduction In Grade and Removal Actions; and Adverse Actions,3206-AO23,Proposed Rule,09/23/2021,Pending Review,No,None,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=3206-AO23,11/30/21
73,OPM,OPM,The Fair Chance Act,3206-AO00,Proposed Rule,10/04/2021,Pending Review,No,Statutory,https://www.reginfo.gov/public/do/eAgendaViewRule?pubId=202104&RIN=3206-AO00,11/30/21
